0.0000	0.0000
0.0017	0.0000
0.0033	0.0000
0.0050	0.0001
0.0067	0.0003
0.0083	0.0010
0.0100	0.0024
0.0117	0.0050
0.0133	0.0094
0.0150	0.0161
0.0167	0.0260
0.0183	0.0398
0.0200	0.0583
0.0217	0.0823
0.0233	0.1127
0.0250	0.1502
0.0267	0.1955
0.0283	0.2493
0.0300	0.3122
0.0317	0.3846
0.0333	0.4670
0.0350	0.5597
0.0367	0.6629
0.0383	0.7766
0.0400	0.9009
0.0417	1.0356
0.0433	1.1805
0.0450	1.3353
0.0467	1.4997
0.0483	1.6732
0.0500	1.8552
0.0517	2.0451
0.0533	2.2423
0.0550	2.4461
0.0567	2.6558
0.0583	2.8705
0.0600	3.0896
0.0617	3.3122
0.0633	3.5374
0.0650	3.7646
0.0667	3.9928
0.0683	4.2214
0.0700	4.4494
0.0717	4.6763
0.0733	4.9012
0.0750	5.1234
0.0767	5.3423
0.0783	5.5573
0.0800	5.7678
0.0817	5.9732
0.0833	6.1730
0.0850	6.3667
0.0867	6.5539
0.0883	6.7342
0.0900	6.9074
0.0917	7.0729
0.0933	7.2307
0.0950	7.3805
0.0967	7.5220
0.0983	7.6552
0.1000	7.7799
0.1017	7.8960
0.1033	8.0036
0.1050	8.1025
0.1067	8.1928
0.1083	8.2745
0.1100	8.3478
0.1117	8.4126
0.1133	8.4691
0.1150	8.5175
0.1167	8.5578
0.1183	8.5903
0.1200	8.6151
0.1217	8.6324
0.1233	8.6425
0.1250	8.6455
0.1267	8.6416
0.1283	8.6312
0.1300	8.6143
0.1317	8.5914
0.1333	8.5626
0.1350	8.5281
0.1367	8.4883
0.1383	8.4434
0.1400	8.3935
0.1417	8.3391
0.1433	8.2802
0.1450	8.2172
0.1467	8.1503
0.1483	8.0798
0.1500	8.0058
0.1517	7.9286
0.1533	7.8485
0.1550	7.7656
0.1567	7.6801
0.1583	7.5923
0.1600	7.5023
0.1617	7.4104
0.1633	7.3168
0.1650	7.2215
0.1667	7.1249
0.1683	7.0270
0.1700	6.9280
0.1717	6.8281
0.1733	6.7274
0.1750	6.6261
0.1767	6.5243
0.1783	6.4221
0.1800	6.3196
0.1817	6.2170
0.1833	6.1144
0.1850	6.0118
0.1867	5.9094
0.1883	5.8073
0.1900	5.7055
0.1917	5.6041
0.1933	5.5033
0.1950	5.4030
0.1967	5.3034
0.1983	5.2045
0.2000	5.1064
0.2017	5.0091
0.2033	4.9126
0.2050	4.8171
0.2067	4.7226
0.2083	4.6290
0.2100	4.5366
0.2117	4.4451
0.2133	4.3548
0.2150	4.2657
0.2167	4.1777
0.2183	4.0909
0.2200	4.0053
0.2217	3.9209
0.2233	3.8378
0.2250	3.7559
0.2267	3.6753
0.2283	3.5960
0.2300	3.5179
0.2317	3.4412
0.2333	3.3658
0.2350	3.2917
0.2367	3.2190
0.2383	3.1475
0.2400	3.0774
0.2417	3.0086
0.2433	2.9412
0.2450	2.8750
0.2467	2.8102
0.2483	2.7468
0.2500	2.6847
0.2517	2.6239
0.2533	2.5644
0.2550	2.5062
0.2567	2.4494
0.2583	2.3939
0.2600	2.3397
0.2617	2.2868
0.2633	2.2352
0.2650	2.1849
0.2667	2.1359
0.2683	2.0882
0.2700	2.0418
0.2717	1.9966
0.2733	1.9528
0.2750	1.9102
0.2767	1.8688
0.2783	1.8287
0.2800	1.7899
0.2817	1.7522
0.2833	1.7159
0.2850	1.6807
0.2867	1.6468
0.2883	1.6140
0.2900	1.5825
0.2917	1.5522
0.2933	1.5230
0.2950	1.4950
0.2967	1.4682
0.2983	1.4426
0.3000	1.4181
0.3017	1.3947
0.3033	1.3724
0.3050	1.3513
